year	term	absolute_frequency	relative_frequency_per_million
1990	artensterben	15	2.1416608722841954
1990	bienensterben	0	0.0
1990	insektensterben	0	0.0
1990	waldsterben	88	12.564410450733947
1991	artensterben	7	1.1938013739630555
1991	bienensterben	0	0.0
1991	insektensterben	0	0.0
1991	waldsterben	45	7.674437404048215
1992	waldsterben	132	15.540659545591115
1992	insektensterben	0	0.0
1992	artensterben	30	3.531968078543435
1992	bienensterben	0	0.0
1993	artensterben	20	2.33889323338307
1993	bienensterben	0	0.0
1993	insektensterben	0	0.0
1993	waldsterben	90	10.525019550223814
1994	waldsterben	97	12.922838265616551
1994	insektensterben	0	0.0
1994	artensterben	5	0.6661256837946675
1994	bienensterben	3	0.39967541027680054
1995	artensterben	19	2.043415041255474
1995	bienensterben	0	0.0
1995	insektensterben	0	0.0
1995	waldsterben	82	8.818949125418364
1996	artensterben	33	3.7875092535737447
1996	bienensterben	0	0.0
1996	insektensterben	0	0.0
1996	waldsterben	110	12.625030845245815
1997	artensterben	20	2.382460989285954
1997	bienensterben	0	0.0
1997	insektensterben	0	0.0
1997	waldsterben	58	6.9091368689292665
1998	waldsterben	43	4.892823831829776
1998	insektensterben	0	0.0
1998	artensterben	19	2.1619454140643195
1998	bienensterben	0	0.0
1999	artensterben	26	2.737547239799557
1999	bienensterben	0	0.0
1999	insektensterben	0	0.0
1999	waldsterben	51	5.369804201145284
2000	artensterben	25	2.731576499875877
2000	bienensterben	0	0.0
2000	insektensterben	1	0.10926305999503509
2000	waldsterben	34	3.714944039831193
2001	artensterben	16	1.6584732903394863
2001	bienensterben	0	0.0
2001	insektensterben	0	0.0
2001	waldsterben	32	3.3169465806789726
2002	insektensterben	0	0.0
2002	waldsterben	26	3.2267104109314992
2002	bienensterben	0	0.0
2002	artensterben	30	3.723127397228653
2003	artensterben	7	0.9482679209090367
2003	bienensterben	7	0.9482679209090367
2003	insektensterben	0	0.0
2003	waldsterben	47	6.366941754674961
2004	artensterben	22	2.7877135832104627
2004	bienensterben	8	1.01371403025835
2004	insektensterben	0	0.0
2004	waldsterben	72	9.123426272325151
2005	artensterben	16	1.8774992742291867
2005	bienensterben	3	0.3520311139179725
2005	insektensterben	0	0.0
2005	waldsterben	37	4.341717071654995
2006	waldsterben	50	5.575104970863944
2006	insektensterben	0	0.0
2006	bienensterben	2	0.22300419883455774
2006	artensterben	29	3.2335608831010876
2007	artensterben	62	5.782974122030268
2007	bienensterben	56	5.223331465059597
2007	insektensterben	0	0.0
2007	waldsterben	44	4.104046151118254
2008	artensterben	54	5.185814454247768
2008	bienensterben	36	3.4572096361651785
2008	insektensterben	1	0.0960336010045883
2008	waldsterben	26	2.496873626119296
2009	artensterben	27	2.8762708190074626
2009	bienensterben	9	0.9587569396691543
2009	insektensterben	0	0.0
2009	waldsterben	25	2.6632137213032063
2010	waldsterben	24	2.220559886418362
2010	insektensterben	0	0.0
2010	bienensterben	16	1.4803732576122413
2010	artensterben	48	4.441119772836724
2011	artensterben	39	3.3122732207551113
2011	bienensterben	21	1.7835317342527524
2011	insektensterben	0	0.0
2011	waldsterben	34	2.8876228078377895
2012	artensterben	36	3.5314011206705267
2012	bienensterben	15	1.4714171336127195
2012	insektensterben	0	0.0
2012	waldsterben	14	1.3733226580385383
2013	artensterben	16	1.6255102705326583
2013	bienensterben	50	5.0797195954145575
2013	insektensterben	0	0.0
2013	waldsterben	34	3.4542093248818992
2014	insektensterben	0	0.0
2014	waldsterben	29	3.0462703251883068
2014	artensterben	38	3.9916645640398505
2014	bienensterben	24	2.521051303604116
2015	artensterben	57	5.709568094212281
2015	bienensterben	25	2.504196532549246
2015	insektensterben	0	0.0
2015	waldsterben	46	4.607721619890612
2016	artensterben	33	3.315044334197455
2016	bienensterben	20	2.0091177783014875
2016	insektensterben	7	0.7031912224055208
2016	waldsterben	38	3.8173237787728262
2017	artensterben	67	6.505744961203427
2017	bienensterben	46	4.466630868885935
2017	insektensterben	83	8.05935569820723
2017	waldsterben	37	3.592724829321295
2018	waldsterben	31	2.7357965386349186
2018	insektensterben	149	13.149473685696867
2018	artensterben	119	10.501928648308237
2018	bienensterben	84	7.413126104688167
2019	artensterben	304	21.188973230450642
2019	bienensterben	45	3.1365256426653914
2019	insektensterben	138	9.618678637507202
2019	waldsterben	101	7.039757553537879
2020	waldsterben	51	4.164259629340067
2020	insektensterben	72	5.878954770833036
2020	artensterben	135	11.023040195311943
2020	bienensterben	18	1.469738692708259
2021	artensterben	234	16.606912535082103
2021	bienensterben	15	1.0645456753257758
2021	insektensterben	46	3.2646067376657126
2021	waldsterben	70	4.967879818186954
2022	insektensterben	3	0.58313310810141
2022	artensterben	87	16.910860134940886
2022	bienensterben	1	0.19437770270047
2022	waldsterben	8	1.55502162160376
