year	term	absolute_frequency	relative_frequency_per_million
1990	klimawandel	0	0.0
1990	umweltschutz	323	340.97878858576144
1990	nachhaltigkeit	25	26.391547104161102
1991	klimawandel	0	0.0
1991	umweltschutz	204	215.7406036506694
1991	nachhaltigkeit	1	1.057551978679752
1992	klimawandel	0	0.0
1992	umweltschutz	231	273.5200610979877
1992	nachhaltigkeit	1	1.1840695285627172
1993	nachhaltigkeit	20	18.638390984983047
1993	umweltschutz	305	284.23546252099146
1993	klimawandel	3	2.7957586477474576
1994	klimawandel	0	0.0
1994	umweltschutz	228	274.7269298663116
1994	nachhaltigkeit	16	19.279082797635905
1995	klimawandel	0	0.0
1995	umweltschutz	268	228.75443211712226
1995	nachhaltigkeit	21	17.92478759126704
1996	klimawandel	0	0.0
1996	umweltschutz	235	218.4579287213611
1996	nachhaltigkeit	61	56.70610064682139
1997	nachhaltigkeit	130	138.0089344860972
1997	umweltschutz	162	171.9803645134442
1997	klimawandel	1	1.061607188354594
1998	klimawandel	0	0.0
1998	umweltschutz	148	167.89506104913994
1998	nachhaltigkeit	127	144.07211319757278
1999	klimawandel	5	3.6048402911557407
1999	umweltschutz	117	84.35326281304432
1999	nachhaltigkeit	181	130.49521853983782
2000	klimawandel	22	14.091588922730054
2000	umweltschutz	138	88.39269415167034
2000	nachhaltigkeit	267	171.02064738040565
2001	nachhaltigkeit	188	127.79691710330614
2001	umweltschutz	140	95.16791699182372
2001	klimawandel	12	8.157250027870605
2002	klimawandel	13	10.826954452668302
2002	umweltschutz	85	70.79162526744659
2002	nachhaltigkeit	298	248.18710976116574
2003	klimawandel	6	6.494146068498088
2003	umweltschutz	80	86.58861424664117
2003	nachhaltigkeit	135	146.11828654120697
2004	klimawandel	42	44.668590961204266
2004	umweltschutz	127	135.06931076364145
2004	nachhaltigkeit	180	191.43681840516115
2005	umweltschutz	59	89.41927485514836
2005	nachhaltigkeit	168	254.61759619771055
2005	klimawandel	19	28.796037665217266
2006	klimawandel	95	93.00795560681327
2006	umweltschutz	107	104.75632894662127
2006	nachhaltigkeit	142	139.02241785439458
2007	klimawandel	264	245.59213286534387
2007	umweltschutz	85	79.07322459679632
2007	nachhaltigkeit	163	151.63453657973884
2008	klimawandel	215	185.99597383598962
2008	umweltschutz	96	83.04936506165119
2008	nachhaltigkeit	152	131.49482801428104
2009	nachhaltigkeit	199	206.79256419662127
2009	umweltschutz	75	77.93689605400299
2009	klimawandel	152	157.95210933611276
2010	klimawandel	184	132.1798249048341
2010	umweltschutz	71	51.00417156653925
2010	nachhaltigkeit	259	186.05747092582627
2011	klimawandel	116	88.94668719597102
2011	umweltschutz	80	61.34254289377312
2011	nachhaltigkeit	221	169.45877474404824
2012	klimawandel	98	74.45558154747569
2012	umweltschutz	81	61.53981740148501
2012	nachhaltigkeit	159	120.80038230661872
2013	nachhaltigkeit	133	151.31226414343038
2013	klimawandel	90	102.39175769104311
2013	umweltschutz	52	59.15968222149157
2014	klimawandel	144	113.31088099209971
2014	umweltschutz	86	67.67177614805955
2014	nachhaltigkeit	265	208.5234962701835
2015	klimawandel	118	110.33533526513675
2015	umweltschutz	59	55.167667632568374
2015	nachhaltigkeit	206	192.61931410693364
2016	nachhaltigkeit	104	102.2796561830019
2016	klimawandel	98	96.37890678782873
2016	umweltschutz	55	54.09020278908755
2017	nachhaltigkeit	97	135.2506389546938
2017	klimawandel	73	101.78656333703762
2017	umweltschutz	27	37.64708506986323
2018	klimawandel	291	272.013460459899
2018	umweltschutz	107	100.01869508319311
2018	nachhaltigkeit	116	108.43148252009722
2019	umweltschutz	130	98.37387976744415
2019	klimawandel	355	268.6363639803282
2019	nachhaltigkeit	238	180.0998721896285
2020	umweltschutz	125	105.70913918933775
2020	klimawandel	274	231.71443310302834
2020	nachhaltigkeit	480	405.92309448705697
2021	umweltschutz	42	102.19724067450178
2021	klimawandel	73	177.62853736282452
2021	nachhaltigkeit	56	136.2629875660024
