year	term	absolute_frequency	relative_frequency_per_million
1990	skeptiker	11	2.8837293436500935
1990	klimaskeptiker	0	0.0
1990	klimawandelskeptiker	0	0.0
1990	leugner	0	0.0
1990	klimaleugner	0	0.0
1990	klimawandelleugner	0	0.0
1991	skeptiker	21	6.989315666118394
1991	klimaskeptiker	0	0.0
1991	klimawandelskeptiker	0	0.0
1991	leugner	0	0.0
1991	klimaleugner	0	0.0
1991	klimawandelleugner	0	0.0
1992	klimawandelleugner	0	0.0
1992	klimaleugner	0	0.0
1992	leugner	1	0.17399477563286686
1992	klimaskeptiker	0	0.0
1992	skeptiker	24	4.175874615188804
1992	klimawandelskeptiker	0	0.0
1993	skeptiker	30	5.138343915181699
1993	klimaskeptiker	0	0.0
1993	klimawandelskeptiker	0	0.0
1993	leugner	0	0.0
1993	klimaleugner	0	0.0
1993	klimawandelleugner	0	0.0
1994	klimaleugner	0	0.0
1994	klimawandelleugner	0	0.0
1994	leugner	0	0.0
1994	klimaskeptiker	0	0.0
1994	skeptiker	34	5.682681409993597
1994	klimawandelskeptiker	0	0.0
1995	skeptiker	42	6.604580465254953
1995	klimaskeptiker	1	0.15725191583940365
1995	klimawandelskeptiker	0	0.0
1995	leugner	1	0.15725191583940365
1995	klimaleugner	0	0.0
1995	klimawandelleugner	0	0.0
1996	leugner	0	0.0
1996	klimawandelleugner	0	0.0
1996	klimaleugner	0	0.0
1996	klimaskeptiker	0	0.0
1996	skeptiker	36	6.027869856280513
1996	klimawandelskeptiker	0	0.0
1997	klimaleugner	0	0.0
1997	skeptiker	46	7.840916664521777
1997	klimaskeptiker	0	0.0
1997	klimawandelskeptiker	0	0.0
1997	leugner	0	0.0
1997	klimawandelleugner	0	0.0
1998	klimaleugner	0	0.0
1998	klimawandelleugner	0	0.0
1998	leugner	0	0.0
1998	klimaskeptiker	0	0.0
1998	klimawandelskeptiker	0	0.0
1998	skeptiker	49	7.633298817321606
1999	skeptiker	48	6.95549454363189
1999	klimaskeptiker	0	0.0
1999	klimawandelskeptiker	0	0.0
1999	leugner	0	0.0
1999	klimaleugner	0	0.0
1999	klimawandelleugner	0	0.0
2000	klimawandelleugner	0	0.0
2000	klimaleugner	0	0.0
2000	leugner	3	0.48279511334098085
2000	klimaskeptiker	0	0.0
2000	skeptiker	33	5.310746246750789
2000	klimawandelskeptiker	0	0.0
2001	skeptiker	43	6.800816730641792
2001	klimaskeptiker	0	0.0
2001	klimawandelskeptiker	0	0.0
2001	leugner	1	0.15815852861957655
2001	klimaleugner	0	0.0
2001	klimawandelleugner	0	0.0
2002	klimaleugner	0	0.0
2002	klimawandelleugner	0	0.0
2002	leugner	0	0.0
2002	klimaskeptiker	0	0.0
2002	skeptiker	37	6.946812201756455
2002	klimawandelskeptiker	0	0.0
2003	skeptiker	34	6.830573647646867
2003	klimaskeptiker	4	0.8035968997231608
2003	klimawandelskeptiker	0	0.0
2003	leugner	1	0.2008992249307902
2003	klimaleugner	0	0.0
2003	klimawandelleugner	0	0.0
2004	klimaskeptiker	1	0.1829495083140489
2004	skeptiker	47	8.5986268907603
2004	klimawandelskeptiker	0	0.0
2004	leugner	4	0.7317980332561956
2004	klimaleugner	0	0.0
2004	klimawandelleugner	0	0.0
2005	leugner	0	0.0
2005	klimawandelskeptiker	0	0.0
2005	klimaleugner	0	0.0
2005	skeptiker	36	5.816484109850118
2005	klimaskeptiker	7	1.1309830213597452
2005	klimawandelleugner	0	0.0
2006	klimaleugner	0	0.0
2006	klimawandelleugner	0	0.0
2006	leugner	1	0.16571507546498823
2006	klimawandelskeptiker	0	0.0
2006	klimaskeptiker	6	0.9942904527899292
2006	skeptiker	33	5.468597490344611
2007	skeptiker	88	12.044235191065367
2007	klimaskeptiker	44	6.022117595532683
2007	klimawandelskeptiker	0	0.0
2007	leugner	14	1.9161283258513082
2007	klimaleugner	1	0.13686630898937918
2007	klimawandelleugner	0	0.0
2008	klimawandelleugner	0	0.0
2008	klimaleugner	2	0.2812213725430919
2008	leugner	3	0.42183205881463787
2008	klimaskeptiker	3	0.42183205881463787
2008	skeptiker	45	6.327480882219568
2008	klimawandelskeptiker	0	0.0
2009	skeptiker	60	8.978835537812047
2009	klimaskeptiker	31	4.639065027869557
2009	klimawandelskeptiker	0	0.0
2009	leugner	17	2.54400340238008
2009	klimaleugner	2	0.2992945179270682
2009	klimawandelleugner	0	0.0
2010	klimaleugner	3	0.3918972372289835
2010	klimawandelleugner	0	0.0
2010	leugner	6	0.783794474457967
2010	klimawandelskeptiker	0	0.0
2010	klimaskeptiker	28	3.6577075474705123
2010	skeptiker	82	10.711857817592215
2011	skeptiker	77	9.212138440016478
2011	klimaskeptiker	12	1.4356579387038666
2011	klimawandelskeptiker	1	0.11963816155865553
2011	leugner	6	0.7178289693519333
2011	klimaleugner	2	0.23927632311731106
2011	klimawandelleugner	0	0.0
2012	klimawandelleugner	2	0.2826269097276932
2012	klimaleugner	1	0.1413134548638466
2012	leugner	8	1.1305076389107729
2012	klimawandelskeptiker	0	0.0
2012	klimaskeptiker	41	5.793851649417711
2012	skeptiker	58	8.196180382103103
2013	skeptiker	64	9.001145677073211
2013	klimaskeptiker	22	3.094143826493916
2013	klimawandelskeptiker	2	0.28128580240853784
2013	leugner	7	0.9845003084298822
2013	klimaleugner	4	0.5625716048170757
2013	klimawandelleugner	1	0.14064290120426892
2014	klimawandelleugner	2	0.3058636664703532
2014	leugner	13	1.9881138320572957
2014	klimaleugner	6	0.9175909994110596
2014	klimaskeptiker	18	2.7527729982331786
2014	skeptiker	55	8.411250827934712
2014	klimawandelskeptiker	1	0.1529318332351766
2015	skeptiker	55	7.769141788108946
2015	klimaskeptiker	18	2.542628221562928
2015	klimawandelskeptiker	1	0.14125712342016267
2015	leugner	10	1.4125712342016268
2015	klimaleugner	4	0.5650284936806507
2015	klimawandelleugner	5	0.7062856171008134
2016	klimawandelleugner	6	0.8479329725943823
2016	klimaleugner	5	0.7066108104953186
2016	leugner	11	1.554543783089701
2016	klimawandelskeptiker	2	0.28264432419812746
2016	skeptiker	40	5.652886483962549
2016	klimaskeptiker	11	1.554543783089701
2017	skeptiker	64	8.588802107692036
2017	klimaskeptiker	20	2.684000658653762
2017	klimawandelskeptiker	6	0.8052001975961285
2017	leugner	16	2.147200526923009
2017	klimaleugner	12	1.610400395192257
2017	klimawandelleugner	11	1.476200362259569
2018	klimawandelleugner	10	1.2636833209597675
2018	leugner	23	2.9064716382074653
2018	klimaleugner	34	4.29652329126321
2018	klimaskeptiker	9	1.1373149888637908
2018	skeptiker	34	4.29652329126321
2018	klimawandelskeptiker	1	0.12636833209597675
2019	skeptiker	88	8.5568119807814
2019	klimaskeptiker	14	1.3613109969424955
2019	klimawandelskeptiker	2	0.19447299956321365
2019	leugner	30	2.9170949934482047
2019	klimaleugner	30	2.9170949934482047
2019	klimawandelleugner	19	1.8474934958505296
2020	klimawandelleugner	13	1.537485371713699
2020	leugner	47	5.558600959272604
2020	klimaleugner	32	3.784579376526028
2020	klimaskeptiker	5	0.5913405275821919
2020	skeptiker	51	6.031673381338358
2020	klimawandelskeptiker	3	0.3548043165493151
2021	skeptiker	41	3.8855134412229853
2021	klimaskeptiker	3	0.28430586155290133
2021	klimawandelskeptiker	2	0.1895372410352676
2021	leugner	58	5.496579990022759
2021	klimaleugner	6	0.5686117231058027
2021	klimawandelleugner	8	0.7581489641410704
2022	klimaleugner	0	0.0
2022	skeptiker	19	4.765260747544009
2022	klimaskeptiker	0	0.0
2022	klimawandelskeptiker	0	0.0
2022	leugner	11	2.7588351696307423
2022	klimawandelleugner	0	0.0
