year	term	absolute_frequency	relative_frequency_per_million
1990	waldsterben	88	12.564410450733947
1990	waldschäden	43	6.13942783388136
1990	baumsterben	6	0.8566643489136782
1991	waldsterben	45	7.674437404048215
1991	waldschäden	31	5.286834656122103
1991	baumsterben	3	0.511629160269881
1992	waldsterben	132	15.540659545591115
1992	waldschäden	70	8.241258849934683
1992	baumsterben	11	1.2950549621325929
1993	waldsterben	90	10.525019550223814
1993	waldschäden	69	8.06918165517159
1993	baumsterben	6	0.701667970014921
1994	baumsterben	9	1.1990262308304016
1994	waldsterben	97	12.922838265616551
1994	waldschäden	75	9.991885256920014
1995	waldsterben	82	8.818949125418364
1995	waldschäden	38	4.086830082510948
1995	baumsterben	4	0.43019264026431037
1996	waldsterben	110	12.625030845245815
1996	waldschäden	45	5.164785345782379
1996	baumsterben	5	0.5738650384202644
1997	baumsterben	5	0.5956152473214885
1997	waldsterben	58	6.9091368689292665
1997	waldschäden	60	7.147382967857862
1998	baumsterben	4	0.4551464029609094
1998	waldsterben	43	4.892823831829776
1998	waldschäden	28	3.1860248207263657
1999	waldsterben	51	5.369804201145284
1999	waldschäden	28	2.9481277967072153
1999	baumsterben	3	0.31587083536148736
2000	waldsterben	34	3.714944039831193
2000	waldschäden	24	2.622313439880842
2000	baumsterben	1	0.10926305999503509
2001	baumsterben	0	0.0
2001	waldsterben	32	3.3169465806789726
2001	waldschäden	24	2.4877099355092294
2002	baumsterben	0	0.0
2002	waldschäden	13	1.6133552054657496
2002	waldsterben	26	3.2267104109314992
2003	waldsterben	47	6.366941754674961
2003	waldschäden	16	2.16746953350637
2003	baumsterben	0	0.0
2004	baumsterben	1	0.12671425378229376
2004	waldsterben	72	9.123426272325151
2004	waldschäden	21	2.6609993294281686
2005	waldschäden	7	0.8214059324752693
2005	baumsterben	0	0.0
2005	waldsterben	37	4.341717071654995
2006	baumsterben	3	0.33450629825183664
2006	waldschäden	4	0.4460083976691155
2006	waldsterben	50	5.575104970863944
2007	waldsterben	44	4.104046151118254
2007	waldschäden	9	0.8394639854560066
2007	baumsterben	5	0.46636888080889255
2008	waldsterben	26	2.496873626119296
2008	waldschäden	1	0.0960336010045883
2008	baumsterben	1	0.0960336010045883
2009	waldsterben	25	2.6632137213032063
2009	waldschäden	3	0.3195856465563848
2009	baumsterben	3	0.3195856465563848
2010	baumsterben	0	0.0
2010	waldschäden	2	0.18504665720153016
2010	waldsterben	24	2.220559886418362
2011	waldsterben	34	2.8876228078377895
2011	waldschäden	1	0.0849300825834644
2011	baumsterben	3	0.2547902477503932
2012	waldsterben	14	1.3733226580385383
2012	waldschäden	1	0.0980944755741813
2012	baumsterben	0	0.0
2013	waldsterben	34	3.4542093248818992
2013	waldschäden	3	0.30478317572487346
2013	baumsterben	0	0.0
2014	waldschäden	1	0.10504380431683817
2014	baumsterben	2	0.21008760863367634
2014	waldsterben	29	3.0462703251883068
2015	waldsterben	46	4.607721619890612
2015	waldschäden	6	0.6010071678118191
2015	baumsterben	3	0.30050358390590953
2016	waldsterben	38	3.8173237787728262
2016	waldschäden	0	0.0
2016	baumsterben	1	0.10045588891507438
2017	waldsterben	37	3.592724829321295
2017	waldschäden	2	0.19420134212547543
2017	baumsterben	0	0.0
2018	baumsterben	3	0.2647545037388631
2018	waldsterben	31	2.7357965386349186
2018	waldschäden	2	0.1765030024925754
2019	waldsterben	101	7.039757553537879
2019	waldschäden	17	1.184909687229148
2019	baumsterben	7	0.4879039888590609
2020	waldsterben	51	4.164259629340067
2020	waldschäden	15	1.224782243923549
2020	baumsterben	5	0.4082607479745164
2021	waldschäden	12	0.8516365402606206
2021	waldsterben	70	4.967879818186954
2021	baumsterben	7	0.49678798181869543
2022	waldschäden	1	0.19437770270047
2022	waldsterben	8	1.55502162160376
2022	baumsterben	1	0.19437770270047
