year	term	absolute_frequency	relative_frequency_per_million
1990	waldsterben	88	12.564410450733947
1990	waldschädenbaumsterben	0	0.0
1990	fichtensterben	0	0.0
1990	tannensterben	0	0.0
1991	waldsterben	45	7.674437404048215
1991	waldschädenbaumsterben	0	0.0
1991	fichtensterben	0	0.0
1991	tannensterben	0	0.0
1992	tannensterben	0	0.0
1992	fichtensterben	0	0.0
1992	waldsterben	132	15.540659545591115
1992	waldschädenbaumsterben	0	0.0
1993	waldsterben	90	10.525019550223814
1993	waldschädenbaumsterben	0	0.0
1993	fichtensterben	0	0.0
1993	tannensterben	6	0.701667970014921
1994	tannensterben	1	0.13322513675893352
1994	fichtensterben	0	0.0
1994	waldsterben	97	12.922838265616551
1994	waldschädenbaumsterben	0	0.0
1995	waldsterben	82	8.818949125418364
1995	waldschädenbaumsterben	0	0.0
1995	fichtensterben	0	0.0
1995	tannensterben	0	0.0
1996	waldsterben	110	12.625030845245815
1996	waldschädenbaumsterben	0	0.0
1996	fichtensterben	0	0.0
1996	tannensterben	2	0.22954601536810573
1997	waldsterben	58	6.9091368689292665
1997	waldschädenbaumsterben	0	0.0
1997	fichtensterben	0	0.0
1997	tannensterben	0	0.0
1998	tannensterben	0	0.0
1998	fichtensterben	1	0.11378660074022735
1998	waldsterben	43	4.892823831829776
1998	waldschädenbaumsterben	0	0.0
1999	waldsterben	51	5.369804201145284
1999	waldschädenbaumsterben	0	0.0
1999	fichtensterben	1	0.10529027845382911
1999	tannensterben	0	0.0
2000	waldsterben	34	3.714944039831193
2000	waldschädenbaumsterben	0	0.0
2000	fichtensterben	0	0.0
2000	tannensterben	0	0.0
2001	waldsterben	32	3.3169465806789726
2001	waldschädenbaumsterben	0	0.0
2001	fichtensterben	0	0.0
2001	tannensterben	0	0.0
2002	fichtensterben	0	0.0
2002	tannensterben	0	0.0
2002	waldschädenbaumsterben	0	0.0
2002	waldsterben	26	3.2267104109314992
2003	waldsterben	47	6.366941754674961
2003	waldschädenbaumsterben	0	0.0
2003	fichtensterben	0	0.0
2003	tannensterben	0	0.0
2004	waldsterben	72	9.123426272325151
2004	waldschädenbaumsterben	0	0.0
2004	fichtensterben	0	0.0
2004	tannensterben	0	0.0
2005	waldsterben	37	4.341717071654995
2005	waldschädenbaumsterben	0	0.0
2005	fichtensterben	0	0.0
2005	tannensterben	0	0.0
2006	tannensterben	0	0.0
2006	fichtensterben	0	0.0
2006	waldschädenbaumsterben	0	0.0
2006	waldsterben	50	5.575104970863944
2007	waldsterben	44	4.104046151118254
2007	waldschädenbaumsterben	0	0.0
2007	fichtensterben	0	0.0
2007	tannensterben	0	0.0
2008	waldsterben	26	2.496873626119296
2008	waldschädenbaumsterben	0	0.0
2008	fichtensterben	1	0.0960336010045883
2008	tannensterben	1	0.0960336010045883
2009	waldsterben	25	2.6632137213032063
2009	waldschädenbaumsterben	0	0.0
2009	fichtensterben	0	0.0
2009	tannensterben	0	0.0
2010	tannensterben	0	0.0
2010	fichtensterben	0	0.0
2010	waldschädenbaumsterben	0	0.0
2010	waldsterben	24	2.220559886418362
2011	waldsterben	34	2.8876228078377895
2011	waldschädenbaumsterben	0	0.0
2011	fichtensterben	0	0.0
2011	tannensterben	0	0.0
2012	waldsterben	14	1.3733226580385383
2012	waldschädenbaumsterben	0	0.0
2012	fichtensterben	0	0.0
2012	tannensterben	0	0.0
2013	waldsterben	34	3.4542093248818992
2013	waldschädenbaumsterben	0	0.0
2013	fichtensterben	0	0.0
2013	tannensterben	0	0.0
2014	fichtensterben	0	0.0
2014	tannensterben	0	0.0
2014	waldsterben	29	3.0462703251883068
2014	waldschädenbaumsterben	0	0.0
2015	waldsterben	46	4.607721619890612
2015	waldschädenbaumsterben	0	0.0
2015	fichtensterben	0	0.0
2015	tannensterben	0	0.0
2016	waldsterben	38	3.8173237787728262
2016	waldschädenbaumsterben	0	0.0
2016	fichtensterben	0	0.0
2016	tannensterben	0	0.0
2017	waldsterben	37	3.592724829321295
2017	waldschädenbaumsterben	0	0.0
2017	fichtensterben	1	0.09710067106273772
2017	tannensterben	0	0.0
2018	tannensterben	0	0.0
2018	fichtensterben	0	0.0
2018	waldsterben	31	2.7357965386349186
2018	waldschädenbaumsterben	0	0.0
2019	waldsterben	101	7.039757553537879
2019	waldschädenbaumsterben	0	0.0
2019	fichtensterben	0	0.0
2019	tannensterben	0	0.0
2020	tannensterben	0	0.0
2020	fichtensterben	2	0.16330429918980655
2020	waldsterben	51	4.164259629340067
2020	waldschädenbaumsterben	0	0.0
2021	waldsterben	70	4.967879818186954
2021	waldschädenbaumsterben	0	0.0
2021	fichtensterben	2	0.14193942337677012
2021	tannensterben	0	0.0
2022	fichtensterben	1	0.19437770270047
2022	waldsterben	8	1.55502162160376
2022	waldschädenbaumsterben	0	0.0
2022	tannensterben	0	0.0
